NOMBRE;DEPORTE;TIPO;FECHA;PAIS;LUGAR;;
ESGRIMA;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;11/01/2018 0:00;;CIRCUITO EUROPEO;;
GIMNASIA;CALENDARIO NACIONAL;CALENDARIO NACIONAL;11/01/2018 0:00;Colombia;SOGAMOSO - BOYACÃ;;
GIMNASIA;CALENDARIO NACIONAL;CALENDARIO NACIONAL;11/01/2018 0:00;;POR DEFINIR;;
GIMNASIA;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;11/01/2018 0:00;;POR DEFINIR;;
MOTONAUTICA;CALENDARIO NACIONAL;CALENDARIO NACIONAL;11/01/2018 0:00;Colombia;RIO MAGDALENA;;
SQUASH;NACIONAL;NACIONAL;11/01/2018 0:00;;LIGA CUNDINAMARCA;;
SURF;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;11/01/2018 0:00;;BUZIOS;;
TEJO;CALENDARIO NACIONAL;CALENDARIO NACIONAL;11/01/2018 0:00;Colombia;NEIVA HUILA;;
WUSHU;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;11/01/2018 0:00;;CHINA.;;
WUSHU;CALENDARIO INTERNACIONAL.;CALENDARIO INTERNACIONAL.;11/01/2018 0:00;Argentina;BUENOS AIRES - ARGENTINA;;
AUTOMOVILISMO;NACIONAL;NACIONAL;10/27/2018 12:00:00 AM;Colombia;Tocancipa;;
TEJO;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/27/2018 12:00:00 AM;Colombia;BOGOTÃ D.C.;;
TEJO;CAPACITACION;CAPACITACION;10/26/2018 12:00:00 AM;Colombia;BOGOTÃ D.C.;;
ECUESTRE;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/25/2018 12:00:00 AM;Colombia;BOGOTA   COL;;
GIMNASIA;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/25/2018 12:00:00 AM;;DOHA - QATAR;;
JUDO;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/25/2018 12:00:00 AM;Colombia;MANIZALES;;
TENIS DE MESA;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/25/2018 12:00:00 AM;;SANTO DOMINGO;;
CANOTAJE;RESERVA DEPORTIVA;RESERVA DEPORTIVA;10/24/2018 12:00:00 AM;Colombia;GUATAPE;;
ARQUERIA;NACIONAL;NACIONAL;10/22/2018 12:00:00 AM;Colombia;CALI;;
FUTBOL DE SALON;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/22/2018 12:00:00 AM;Colombia;VALLEDUPAR;;
MOTOCICLISMO;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/21/2018 12:00:00 AM;Colombia;CUNDINARCA;;
AUTOMOVILISMO;NACIONAL;NACIONAL;10/20/2018 12:00:00 AM;Colombia;Tocancipa;;
VELA;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/20/2018 12:00:00 AM;Argentina;BUENOS AIRES (ARG);;
TAEKWONDO;CALENDARIO INTERNACIONAL.;CALENDARIO INTERNACIONAL.;10/19/2018 12:00:00 AM;;MANCHESTER;;
VOLEIBOL;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/19/2018 12:00:00 AM;Colombia;BOGOTA;;
LUCHA;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/18/2018 12:00:00 AM;;BUDAPEST;;
JUDO;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/15/2018 12:00:00 AM;;BAHAMAS;;
JUDO;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/15/2018 12:00:00 AM;;NASSAU;;
BALONCESTO;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/14/2018 12:00:00 AM;Colombia;FUSA;;
MOTOCICLISMO;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/14/2018 12:00:00 AM;Colombia;TOCANCIPA;;
SOFTBOL;INTERNACIONAL;INTERNACIONAL;10/14/2018 12:00:00 AM;;PERU;;
ACTIVIDADES SUBACUATICAS;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/13/2018 12:00:00 AM;Colombia;BogotÃ¡;;
ESQUI;CALENDARIO UNICO;CALENDARIO UNICO;10/13/2018 12:00:00 AM;Colombia;MEDELLIN;;
NATACION;CAPACITACION;CAPACITACION;10/13/2018 12:00:00 AM;Colombia;BogotÃ¡;;
NATACION;CAPACITACION;CAPACITACION;10/13/2018 12:00:00 AM;Colombia;Cali;;
VELA;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/13/2018 12:00:00 AM;Colombia;CALIMA - CLUB NÃUTICO DEL PACÃFICO;;
ACTIVIDADES SUBACUATICAS;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/12/2018 0:00;Colombia;POPAYAN;;
ARQUERIA;NACIONAL;NACIONAL;10/12/2018 0:00;Colombia;BUCARAMANGA;;
BEISBOL;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/12/2018 0:00;Panama;PANAMA;;
CANOTAJE;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/12/2018 0:00;Argentina;BUENOS AIRES, ARGENTINA;;
JUDO;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/12/2018 0:00;Mexico;CANCUN;;
ATLETISMO;CALENDARIO UNICO;CALENDARIO UNICO;10/11/2018 0:00;Argentina;BUENOS AIRES;;
TEJO;JUEGOS NACIONALES;JUEGOS NACIONALES;10/11/2018 0:00;Colombia;MONTERÃA CORDOBA;;
TENIS DE MESA;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/11/2018 0:00;Colombia;BOGOTA;;
BADMINTON;RESERVA DEPORTIVA;RESERVA DEPORTIVA;10/10/2018 0:00;Colombia;NARIÃ‘O;;
BEISBOL;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/10/2018 0:00;Colombia;CARTAGENA;;
ECUESTRE;ENTRENADORES;ENTRENADORES;10/10/2018 0:00;Colombia;CUNDINAMARCA;;
FUTBOL DE SALON;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/10/2018 0:00;Colombia;ARMENIA;;
NATACION;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/10/2018 0:00;Peru;Lima;;
NATACION;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/10/2018 0:00;Peru;Lima;;
NATACION;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/10/2018 0:00;Peru;Lima;;
NATACION;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/10/2018 0:00;Peru;Lima;;
NATACION;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/10/2018 0:00;Peru;Lima;;
LUCHA;CALENDARIO INTERNACINAL;CALENDARIO INTERNACINAL;10/08/2018 0:00;;HUNGRIA;;
AUTOMOVILISMO;NACIONAL;NACIONAL;10/07/2018 0:00;Colombia;Tocancipa;;
AUTOMOVILISMO;NACIONAL;NACIONAL;10/07/2018 0:00;Colombia;Tocancipa;;
LEV DE PESAS;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/07/2018 0:00;Colombia;CARTAGENA;;
MOTOCICLISMO;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/07/2018 0:00;Colombia;NARIÃ‘O;;
VELA;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/07/2018 0:00;Colombia;GUATAPÃ‰- ANTIOQUIA;;
VELA;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/07/2018 0:00;;WRIGHTSVILLE BEACH/NC / USA;;
ARQUERIA;EVENTO DEL CICLO OLÃMPICO;EVENTO DEL CICLO OLÃMPICO;10/06/2018 0:00;Argentina;BUENOS AIRES;;
AUTOMOVILISMO;NACIONAL;NACIONAL;10/06/2018 0:00;Colombia;Tocancipa;;
NATACION;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/06/2018 0:00;Argentina;Buenos Aires;;
NATACION;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/06/2018 0:00;Argentina;Buenos Aires;;
TRIATLON;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/06/2018 0:00;Colombia;PAIPA;;
VELA;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/06/2018 0:00;USA;SAN DIEGO CA USA;;
BALONMAMO;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/04/2018 0:00;Colombia;Palmira - Valle - Colombia;;
ECUESTRE;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/04/2018 0:00;EspaÃ±a;BARCELONA ESPAÃ‘A;;
TEJO;CALENDARIO NACIONAL;CALENDARIO NACIONAL;10/04/2018 0:00;Colombia;VILLETA CUNDINAMARCA;;
VELA;CALENDARIO INTERNACIONAL;CALENDARIO INTERNACIONAL;10/03/2018 0:00;;WRIGHTSVILLE BEACH/NC / USA;;
